ID,Subject,Group,Strain,Day,Quantity,IS,Bisphenol A,Glucose-6-phosphate,Lactate,Citrate,Isocitrate,Phosphoenolpyruvate
BPA50_C_mouse1_Day1,BPA50_mouse1,BPA50,C,Day1,6.95,928146,1625,1446940,2838,89638,19195,1977
BPA500_C_mouse2_Day1,BPA500_mouse2,BPA500,C,Day1,7.15,878970,1318,1527127,10483,131966,19049,4254
BPA5000_C_mouse3_Day1,BPA5000_mouse3,BPA5000,C,Day1,7.35,1049784,NA,1424536,5097,533029,33628,3644
Control_C_mouse4_Day1,Control_mouse4,Control,C,Day1,12.85,856558,NA,1446332,8423,603785,42643,2391
BPA50_C_mouse5_Day1,BPA50_mouse5,BPA50,C,Day1,6.3,819029,1077,1467167,5590,167443,24691,2965
BPA500_C_mouse6_Day1,BPA500_mouse6,BPA500,C,Day1,14.65,807161,462,1512474,7156,123444,19737,4953
BPA5000_C_mouse7_Day1,BPA5000_mouse7,BPA5000,C,Day1,11.5,632762,NA,1429406,10187,302476,18080,2922
Control_C_mouse8_Day1,Control_mouse8,Control,C,Day1,8.2,768734,NA,1446488,10403,90034,18026,1952
BPA500_C_mouse9_Day2,BPA500_mouse9,BPA500,C,Day2,10.5,937197,392,2390431,19620,109583,17076,3222
BPA5000_C_mouse10_Day2,BPA5000_mouse10,BPA5000,C,Day2,13.4,939900,410,2212078,12340,86745,22469,7383
Control_C_mouse11_Day2,Control_mouse11,Control,C,Day2,7.95,994123,254,2499840,5405,117155,22966,2290
BPA50_C_mouse12_Day2,BPA50_mouse12,BPA50,C,Day2,6.95,854460,387,2516029,7622,269734,22432,4467
BPA500_C_mouse13_Day2,BPA500_mouse13,BPA500,C,Day2,11.1,1135308,NA,2484004,1727,194541,20206,2056
BPA5000_C_mouse14_Day2,BPA5000_mouse14,BPA5000,C,Day2,7.3,897676,154,2349006,5272,550782,28011,2937
Control_C_mouse15_Day2,Control_mouse15,Control,C,Day2,9.55,873171,1269,2413611,11675,327090,22284,2255
BPA50_C_mouse16_Day2,BPA50_mouse16,BPA50,C,Day2,7.4,953521,NA,2205213,20279,82839,16107,2210
BPA50_D_mouse17_Day3,BPA50_mouse17,BPA50,D,Day3,13.25,724895,1282,2513276,6267,205545,31223,3320
BPA500_D_mouse18_Day3,BPA500_mouse18,BPA500,D,Day3,24.6,722430,109,2451746,11242,796903,36062,7903
BPA5000_D_mouse19_Day3,BPA5000_mouse19,BPA5000,D,Day3,17.8,789067,127,2441521,13826,2337922,38720,7001
Control_D_mouse20_Day3,Control_mouse20,Control,D,Day3,15,775442,2780,2455315,9065,241238,25920,2707
BPA50_D_mouse21_Day3,BPA50_mouse21,BPA50,D,Day3,13.75,829559,NA,2346569,6748,90252,20242,4504
BPA500_D_mouse22_Day3,BPA500_mouse22,BPA500,D,Day3,23.1,848737,313,2404898,7489,104039,19909,5435
BPA5000_D_mouse23_Day3,BPA5000_mouse23,BPA5000,D,Day3,8.25,910872,NA,2399640,4970,99401,19394,5753
Control_D_mouse24_Day3,Control_mouse24,Control,D,Day3,15.65,805321,144,2338756,10102,838769,33110,2660
BPA50_D_mouse25_Day4,BPA50_mouse25,BPA50,D,Day4,14.15,676169,160,2401130,4222,79262,18737,558
BPA500_D_mouse26_Day4,BPA500_mouse26,BPA500,D,Day4,15.9,749523,916,2508392,19870,96074,20478,4519
BPA5000_D_mouse27_Day4,BPA5000_mouse27,BPA5000,D,Day4,22,660530,522,2250342,2677,326685,33682,2505
Control_D_mouse28_Day4,Control_mouse28,Control,D,Day4,21.8,795722,647,2571321,17382,182616,27731,4767
BPA50_D_mouse29_Day4,BPA50_mouse29,BPA50,D,Day4,18.4,671814,585,2307630,11674,91434,25766,4041
BPA500_D_mouse30_Day4,BPA500_mouse30,BPA500,D,Day4,18.2,778982,301,2341997,27849,123857,19528,3365
BPA5000_D_mouse31_Day4,BPA5000_mouse31,BPA5000,D,Day4,12.25,768990,156,2384580,22105,136946,22966,5979
Control_D_mouse32_Day4,Control_mouse32,Control,D,Day4,18.25,724182,473,2304063,17228,598736,27045,2302
